PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
984	Williams, Jordan	NJN	28.0667	52	52	65	62	125	119.231	5.76923	7	8	20	17	0.291667	0.714286	643.9333	1169	1163	1207	1294	103.251	111.264	-8.0133	240	255	411	421	0.3631	0.6171	5.76923	0.291667	0.714286	13.7825	-0.0714	0.0972	NULL	NULL
985	Ayon, Gustavo	NOH	358.3500	656	658	696	684	106.098	103.951	2.14619	117	119	228	221	0.346154	0.657061	1038.6500	1922	1918	1851	1996	96.3059	104.067	-7.7608	344	314	699	703	0.3286	0.69	2.14619	0.346154	0.657061	9.907	0.0176	-0.0329	11.5438	5.14121
986	Johnson, Carldell	NOH	113.6000	204	199	202	199	99.0196	100	-0.980392	30	28	83	75	0.285714	0.747748	1283.4000	2374	2377	2345	2481	98.7784	104.375	-5.5968	431	405	844	849	0.3367	0.6757	-0.980392	0.285714	0.747748	4.6164	-0.051	0.072	NULL	NULL
987	Thomas, Lance	NOH	55.8333	105	106	89	119	84.7619	112.264	-27.5022	28	21	29	43	0.394366	0.58	1341.1667	2473	2470	2458	2561	99.3934	103.684	-4.2908	433	412	898	881	0.3295	0.6855	-27.5022	0.394366	0.58	-23.2114	0.0649	-0.1055	NULL	NULL
988	Harrellson, Josh	NYK	295.6333	586	592	587	522	100.171	88.1757	11.995	95	91	221	221	0.300633	0.708333	1154.3667	2251	2253	2264	2297	100.577	101.953	-1.3754	402	387	773	808	0.3322	0.6664	11.995	0.300633	0.708333	13.3704	-0.0316	0.0419	14.1956	5.30529
989	Jordan, Jerome	NYK	59.4500	121	119	137	116	113.223	97.479	15.7441	20	26	43	40	0.333333	0.623188	1390.5500	2716	2726	2714	2703	99.9264	99.1563	0.7701	477	452	951	989	0.3254	0.6778	15.7441	0.333333	0.623188	14.974	0.0079	-0.0546	NULL	NULL
990	Shumpert, Iman	NYK	800.4333	1563	1568	1574	1578	100.704	100.638	0.0660196	299	246	536	557	0.349299	0.685422	649.5667	1274	1277	1277	1241	100.235	97.1809	3.0546	198	232	458	472	0.2955	0.6638	0.0660196	0.349299	0.685422	-2.9886	0.0538	0.0216	-4.74495	3.98269
991	Jackson, Reggie	OKC	280.4000	533	552	561	548	105.253	99.2754	5.97792	81	118	197	178	0.312741	0.625397	1116.6000	2196	2187	2402	2250	109.381	102.881	6.5	357	391	830	705	0.3362	0.6798	5.97792	0.312741	0.625397	-0.5221	-0.0235	-0.0544	NULL	NULL
992	Reid, Ryan	OKC	10.4833	22	23	19	21	86.3636	91.3043	-4.94071	7	6	5	8	0.466667	0.454545	1386.5167	2707	2716	2944	2777	108.755	102.246	6.5091	431	503	1022	875	0.33	0.6702	-4.94071	0.466667	0.454545	-11.4498	0.1367	-0.2157	NULL	NULL
993	Harper, Justin	ORL	14.0333	29	28	21	35	72.4138	125	-52.5862	3	5	9	11	0.214286	0.642857	1488.7500	2771	2771	2880	2790	103.934	100.686	3.2479	537	454	1074	1035	0.3416	0.7029	-52.5862	0.214286	0.642857	-55.8341	-0.1273	-0.06	NULL	NULL
994	Liggins, DeAndre	ORL	0.0000	0	0	0	0	NULL	NULL	NULL	0	0	0	0	NULL	NULL	1502.7833	2800	2799	2901	2825	103.607	100.929	2.67824	540	459	1083	1046	0.340479	0.702335	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
995	Allen, Lavoy	PHI	283.1167	501	507	519	486	103.593	95.858	7.73483	95	92	205	210	0.311475	0.690236	1161.8833	2203	2205	2334	2119	105.946	96.0998	9.8467	343	396	858	851	0.2873	0.6842	7.73483	0.311475	0.690236	-2.1119	0.0242	0.006	NULL	NULL
996	Vucevic, Nikola	PHI	367.5833	688	694	746	659	108.43	94.9568	13.4735	115	107	270	250	0.315068	0.71618	1077.4167	2016	2018	2107	1946	104.514	96.4321	8.0818	323	381	793	811	0.2848	0.6755	13.4735	0.315068	0.71618	5.3917	0.0303	0.0407	5.42514	4.99407
997	Morris, Markieff	PHX	613.3000	1167	1178	1141	1214	97.7721	103.056	-5.28396	218	195	412	458	0.322485	0.678748	826.7000	1607	1604	1679	1710	104.48	106.608	-2.1281	214	284	581	570	0.273	0.6717	-5.28396	0.322485	0.678748	-3.1559	0.0495	0.007	-3.65479	4.75268
998	Smith, Nolan	POR	104.6500	217	215	203	227	93.5484	105.581	-12.033	32	41	65	90	0.262295	0.613208	1403.3500	2706	2688	2818	2660	104.139	98.9583	5.1806	441	478	968	984	0.3095	0.6694	-12.033	0.262295	0.613208	-17.2136	-0.0472	-0.0562	NULL	NULL
999	Fredette, Jimmer	SAC	582.9667	1155	1146	1130	1283	97.8355	111.955	-14.1191	218	206	382	452	0.325373	0.64966	862.0333	1673	1688	1663	1766	99.4023	104.621	-5.2186	360	304	577	623	0.3662	0.6549	-14.1191	0.325373	0.64966	-8.9005	-0.0408	-0.0052	-11.9811	4.04972
1000	Honeycutt, Tyler	SAC	7.7667	19	18	26	16	136.842	88.8889	47.9532	7	5	4	6	0.538462	0.444444	1437.2333	2809	2816	2767	3033	98.5048	107.706	-9.2012	571	505	955	1069	0.3482	0.6541	47.9532	0.538462	0.444444	57.1544	0.1903	-0.2097	NULL	NULL
1001	Thomas, Isaiah	SAC	510.6833	997	1014	1008	1076	101.103	106.114	-5.01109	194	202	321	383	0.336222	0.613767	934.3167	1831	1820	1785	1973	97.4877	108.407	-10.9189	384	308	638	692	0.3569	0.6744	-5.01109	0.336222	0.613767	5.9078	-0.0207	-0.0606	1.7114	4.15056
1002	Joseph, Cory	SAS	148.2500	273	281	277	322	101.465	114.591	-13.1255	55	45	96	100	0.354839	0.680851	1311.5333	2508	2498	2679	2501	106.818	100.12	6.6981	408	391	939	923	0.3065	0.706	-13.1255	0.354839	0.680851	-19.8236	0.0483	-0.0251	NULL	NULL
1003	Leonard, Kawhi	SAS	691.3333	1307	1325	1339	1378	102.448	104	-1.55165	252	198	487	484	0.342391	0.710949	768.4500	1474	1454	1617	1445	109.701	99.381	10.3205	211	238	548	539	0.2813	0.6972	-1.55165	0.342391	0.710949	-11.8721	0.0611	0.0137	-10.4718	3.90195
1004	Burks, Alec	UTA	271.9500	515	515	556	511	107.961	99.2233	8.73786	137	111	186	148	0.480702	0.626263	1087.0500	2075	2079	2129	2213	102.602	106.445	-3.843	363	351	726	766	0.3215	0.6741	8.73786	0.480702	0.626263	12.5809	0.1592	-0.0478	NULL	NULL
1005	Kanter, Enes	UTA	414.2333	795	790	771	805	96.9811	101.899	-4.9176	182	138	287	259	0.412698	0.675294	944.7667	1795	1804	1914	1919	106.63	106.375	0.2548	318	324	625	655	0.3268	0.6586	-4.9176	0.412698	0.675294	-5.1724	0.0859	0.0167	-7.27599	5.68779
1006	Mack, Shelvin	WAS	294.0000	549	553	524	543	95.4463	98.1917	-2.74542	108	110	200	207	0.342857	0.645161	1151.0000	2279	2256	2224	2459	97.5867	108.998	-11.4116	406	449	754	847	0.324	0.6268	-2.74542	0.342857	0.645161	8.6662	0.0189	0.0184	NULL	NULL
1007	Singleton, Chris	WAS	583.1667	1126	1129	1046	1153	92.8952	102.126	-9.23057	209	205	380	422	0.33122	0.649573	861.8333	1702	1680	1702	1849	100	110.06	-10.0595	305	354	574	632	0.3255	0.6185	-9.23057	0.33122	0.649573	0.8289	0.0057	0.0311	-10.6822	4.11491
1008	Vesely, Jan	WAS	382.6500	747	753	725	792	97.0549	105.179	-8.1244	143	155	254	274	0.342926	0.621027	1062.3500	2081	2056	2023	2210	97.2129	107.49	-10.2774	371	404	700	780	0.3223	0.6341	-8.1244	0.342926	0.621027	2.153	0.0206	-0.0131	4.37477	4.78847
1009	Biyombo, Bismack	CHA	444.4833	834	840	756	946	90.6475	112.619	-21.9716	153	158	307	320	0.323467	0.660215	952.5167	1832	1823	1764	1973	96.2882	108.228	-11.94	311	317	637	710	0.3046	0.6677	-21.9716	0.323467	0.660215	-10.0316	0.0189	-0.0075	-13.899	4.86605
