PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
89	Murphy, Troy	LAL	510.3667	941	952	998	970	106.0574	101.8908	4.1666	154	178	383	331	0.3175	0.6827	939.6333	1788	1772	1795	1752	100.3915	98.8713	1.5202	339	330	722	627	0.3509	0.6863	2.6464	-0.0334	-0.0036
90	Richardson, Jason	ORL	745.9833	1401	1401	1489	1430	106.2812	102.0700	4.2113	277	237	539	513	0.3506	0.6946	756.8000	1399	1398	1412	1395	100.9292	99.7854	1.1438	263	222	544	533	0.3304	0.7102	3.0675	0.0202	-0.0156
91	Childress, Josh	PHX	257.2833	480	489	447	545	93.1250	111.4519	-18.3269	99	83	147	181	0.3536	0.6391	1182.7167	2294	2293	2373	2379	103.4438	103.7505	-0.3068	333	396	846	847	0.2822	0.6812	-18.0201	0.0714	-0.0421
92	Dunleavy, Mike	MIL	465.7333	913	905	940	896	102.9573	99.0055	3.9518	184	180	330	342	0.3498	0.6471	931.2667	1793	1788	1802	1911	100.5020	106.8792	-6.3772	299	328	596	672	0.3079	0.6450	10.3290	0.0419	0.0021
94	Smith, Josh	ATL	948.3833	1791	1794	1851	1795	103.3501	100.0557	3.2943	301	283	677	683	0.3059	0.7052	377.6167	696	699	702	707	100.8621	101.1445	-0.2824	122	129	253	261	0.3185	0.6623	3.5767	-0.0126	0.0429
95	Harrington, Al	DEN	799.8833	1594	1586	1693	1614	106.2108	101.7654	4.4453	272	250	555	570	0.3230	0.6894	660.1167	1319	1326	1389	1374	105.3071	103.6199	1.6871	209	210	491	437	0.3235	0.7004	2.7582	-0.0005	-0.0110
97	Williams, Marvin	ATL	606.5667	1135	1138	1148	1176	101.1454	103.3392	-2.1938	205	182	424	454	0.3111	0.6997	719.4333	1352	1355	1405	1326	103.9201	97.8598	6.0603	218	230	506	490	0.3079	0.6875	-8.2541	0.0032	0.0122
98	Pietrus, Mickael	BOS	407.2667	763	766	748	731	98.0341	95.4308	2.6033	122	138	288	270	0.3112	0.6761	941.4000	1728	1728	1753	1730	101.4468	100.1157	1.3310	257	329	621	625	0.2914	0.6537	1.2723	0.0198	0.0224
101	Biedrins, Andris	GSW	433.6833	827	826	858	883	103.7485	106.9007	-3.1522	126	153	288	313	0.2870	0.6531	920.3167	1807	1810	1908	1937	105.5894	107.0166	-1.4272	288	373	597	643	0.3093	0.6155	-1.7250	-0.0223	0.0376
103	Fisher, Derek	LAL	770.4000	1480	1461	1505	1464	101.6892	100.2053	1.4839	261	258	589	520	0.3342	0.6954	679.6000	1249	1263	1288	1258	103.1225	99.6041	3.5184	232	250	516	438	0.3463	0.6736	-2.0345	-0.0121	0.0218
109	Ivey, Royal	OKC	57.3333	110	109	110	107	100.0000	98.1651	1.8349	26	24	36	34	0.4333	0.6000	1339.6667	2619	2630	2853	2691	108.9347	102.3194	6.6153	412	485	991	849	0.3267	0.6714	-4.7804	0.1066	-0.0714
